Frame_Num,Queue_Density,Dynamic_Density
1,0.130376,0.123857
2,0.139216,0.128305
3,0.141765,0.125757
4,0.149411,0.14194
5,0.150844,0.143302
6,0.154906,0.147161
7,0.161676,0.153592
8,0.161994,0.153895
9,0.152915,0.145269
10,0.163826,0.155635
11,0.164145,0.155937
12,0.165976,0.157678
13,0.16749,0.159115
14,0.168684,0.16025
15,0.166614,0.158283
16,0.171153,0.162596
17,0.17187,0.163277
18,0.173304,0.164638
19,0.171551,0.162974
20,0.170994,0.162444
21,0.172029,0.163428
22,0.175374,0.166606
23,0.174259,0.165546
24,0.184135,0.174928
25,0.185409,0.176139
26,0.187321,0.177955
27,0.193613,0.183932
28,0.193613,0.183932
29,0.195205,0.185445
30,0.196639,0.186807
31,0.192657,0.183024
32,0.197595,0.187715
33,0.197515,0.187639
34,0.196639,0.186807
35,0.199108,0.189153
36,0.194728,0.184991
37,0.198152,0.188245
38,0.201736,0.173622
39,0.200462,0.190439
40,0.199984,0.189985
41,0.197754,0.187866
42,0.195205,0.185445
43,0.20094,0.190893
44,0.200621,0.19059
45,0.200064,0.190061
46,0.201657,0.13165
47,0.201179,0.132606
48,0.201577,0.177445
49,0.199665,0.140252
50,0.202055,0.118748
51,0.202055,0.191952
52,0.206754,0.112695
53,0.205161,0.145428
54,0.208824,0.168127
55,0.205161,0.174259
56,0.20978,0.134677
57,0.211612,0.148773
58,0.210736,0.143358
59,0.211612,0.151004
60,0.210338,0.0818732
61,0.200621,0.155304
62,0.201657,0.102023
63,0.203568,0.123128
64,0.204364,0.109987
65,0.204285,0.0674578
66,0.203329,0.0198312
67,0.202931,0.0801211
68,0.203249,0.0663428
69,0.205081,0.115801
70,0.212408,0.101545
71,0.211373,0.121695
72,0.220373,0.0950143
73,0.222842,0.117713
74,0.224435,0.114288
75,0.224833,0.0938993
76,0.230408,0.116518
77,0.226187,0.123527
78,0.233434,0.206913
79,0.235107,0.137703
80,0.240921,0.0933418
81,0.256212,0.0780503
82,0.248646,0.101545
83,0.259955,0.140013
84,0.270389,0.129022
85,0.281379,0.15857
86,0.267681,0.161596
87,0.279388,0.165817
88,0.281857,0.144473
89,0.269911,0.193374
90,0.293724,0.150048
91,0.286397,0.228815
92,0.28576,0.159685
93,0.294441,0.264495
94,0.291335,0.257407
95,0.306308,0.255336
96,0.284486,0.231682
97,0.31029,0.287273
98,0.296989,0.280822
99,0.293087,0.278433
100,0.30591,0.247611
101,0.303839,0.288647
102,0.313476,0.277397
103,0.304874,0.257009
104,0.305989,0.270389
105,0.295556,0.280778
106,0.308458,0.293035
107,0.310608,0.295078
108,0.312042,0.271504
109,0.335298,0.318533
110,0.31921,0.303249
111,0.341988,0.324888
112,0.348678,0.331244
113,0.349315,0.331849
114,0.339997,0.322997
115,0.356483,0.338659
116,0.345174,0.327915
117,0.349474,0.329564
118,0.338723,0.321786
119,0.350749,0.213683
120,0.349076,0.331622
121,0.358394,0.340475
122,0.334501,0.317776
123,0.3482,0.323272
124,0.353616,0.335935
125,0.366837,0.291414
126,0.348598,0.331168
127,0.369146,0.350689
128,0.35274,0.335103
129,0.363332,0.29245
130,0.359828,0.341837
131,0.355209,0.202931
132,0.352182,0.334573
133,0.354333,0.336616
134,0.366996,0.307502
135,0.348678,0.331244
136,0.369704,0.351219
137,0.372252,0.35364
138,0.360226,0.2367
139,0.371297,0.352732
140,0.366438,0.278194
141,0.355607,0.337827
142,0.341112,0.30583
143,0.340873,0.26792
144,0.334581,0.317852
145,0.344616,0.308299
146,0.338006,0.222603
147,0.336891,0.315706
148,0.331634,0.247611
149,0.334422,0.258601
150,0.332988,0.226903
151,0.333705,0.315785
152,0.334581,0.15626
153,0.336333,0.319517
154,0.330679,0.314145
155,0.327254,0.201975
156,0.31467,0.272061
157,0.30137,0.233912
158,0.31467,0.233832
159,0.310449,0.112695
160,0.314511,0.274052
161,0.318334,0.231921
162,0.312759,0.297121
163,0.302883,0.240522
164,0.305671,0.184613
165,0.306069,0.210178
166,0.308378,0.284247
167,0.307423,0.219098
168,0.3126,0.0666614
169,0.302724,0.287588
170,0.297706,0.282821
171,0.297388,0.185409
172,0.300733,0.235983
173,0.304476,0.274371
174,0.304556,0.242752
