Frame_Num,Queue_Density,Dynamic_Density
1,0.102173,0.0572653
2,0.105202,0.083536
3,0.107096,0.0671517
4,0.110644,0.0730118
5,0.112418,0.0783137
6,0.117202,0.0816225
7,0.120749,0.0890572
8,0.12067,0.0951764
9,0.121048,0.0972494
10,0.12071,0.101874
11,0.120969,0.0966912
12,0.12063,0.0980068
13,0.123141,0.101355
14,0.12352,0.103468
15,0.124557,0.104186
16,0.12653,0.106538
17,0.126669,0.107056
18,0.127965,0.10891
19,0.128503,0.111341
20,0.128423,0.109667
21,0.129261,0.113594
22,0.129998,0.115766
23,0.133008,0.114491
24,0.137393,0.12344
25,0.14106,0.130955
26,0.142615,0.133107
27,0.145944,0.136695
28,0.147857,0.139944
29,0.148954,0.139825
30,0.149372,0.141904
31,0.151086,0.143532
32,0.151445,0.143873
33,0.151684,0.1441
34,0.151824,0.144233
35,0.152183,0.135599
36,0.152601,0.144971
37,0.154853,0.140064
38,0.153957,0.124238
39,0.155352,0.134981
40,0.15595,0.12651
41,0.155491,0.105541
42,0.156687,0.120211
43,0.156687,0.109288
44,0.156528,0.103388
45,0.15595,0.105342
46,0.154455,0.0702611
47,0.157385,0.0643412
48,0.157524,0.0504883
49,0.156887,0.0431732
50,0.157624,0.0731513
51,0.159916,0.0479569
52,0.161132,0.042356
53,0.16185,0.0425752
54,0.163943,0.0705402
55,0.163903,0.0465816
56,0.164521,0.0500897
57,0.164879,0.0628065
58,0.163783,0.0410604
59,0.16484,0.0482161
60,0.164142,0.0432928
61,0.16177,0.0451864
62,0.161451,0.0598964
63,0.161212,0.0662946
64,0.160275,0.054116
65,0.161571,0.0619892
66,0.166095,0.0505681
67,0.168029,0.0585609
68,0.168966,0.0589795
69,0.169005,0.0586406
70,0.168627,0.0735898
71,0.171258,0.0671118
72,0.172733,0.0673909
73,0.174248,0.0733307
74,0.173889,0.0751445
75,0.176779,0.0808053
76,0.176739,0.0669125
77,0.180048,0.0815029
78,0.179888,0.103947
79,0.186267,0.0913893
80,0.189017,0.111122
81,0.194718,0.0806857
82,0.202033,0.0716364
83,0.207056,0.0557106
84,0.211262,0.083835
85,0.219593,0.0574248
86,0.221846,0.118497
87,0.230775,0.0768587
88,0.23522,0.12059
89,0.238708,0.126071
90,0.243173,0.130616
91,0.249093,0.126171
92,0.247937,0.143612
93,0.248615,0.141539
94,0.239147,0.17066
95,0.238808,0.129898
96,0.245266,0.142157
97,0.244688,0.158362
98,0.246621,0.152641
99,0.245545,0.168467
100,0.245685,0.146861
101,0.247578,0.159597
102,0.248854,0.140881
103,0.248595,0.153119
104,0.248635,0.161092
105,0.248754,0.16464
106,0.25591,0.17939
107,0.256528,0.183058
108,0.26163,0.193562
109,0.265378,0.187502
110,0.268387,0.0943193
111,0.274028,0.157026
112,0.278194,0.189237
113,0.278832,0.187762
114,0.282021,0.174547
115,0.284931,0.205382
116,0.286765,0.208471
117,0.284114,0.207076
118,0.287801,0.208053
119,0.285788,0.271499
