Frame_Num,Queue_Density,Dynamic_Density
1,0.0866394,0.0457111
2,0.0879405,0.0400115
3,0.0897784,0.0434865
4,0.0934189,0.0430893
5,0.0948335,0.0412761
6,0.0977883,0.0467598
7,0.100763,0.0482646
8,0.101056,0.0454807
9,0.0994968,0.0468015
10,0.0993205,0.0445018
11,0.0988228,0.0695982
12,0.100492,0.0954676
13,0.102158,0.0970498
14,0.102898,0.0861521
15,0.104125,0.0733385
16,0.10492,0.0700038
17,0.105218,0.04843
18,0.106186,0.0579002
19,0.105093,0.0998382
20,0.105779,0.0899192
21,0.106982,0.0909951
22,0.108569,0.0791374
23,0.109497,0.0960648
24,0.112789,0.056077
25,0.115215,0.0587306
26,0.11701,0.061063
27,0.119365,0.0622523
28,0.121218,0.0676071
29,0.121928,0.066781
30,0.1225,0.0654461
31,0.123037,0.0645236
32,0.123887,0.061217
33,0.12366,0.07065
34,0.124091,0.0762895
35,0.124451,0.061807
36,0.125027,0.0751542
37,0.125596,0.0674635
38,0.125815,0.0623954
39,0.126109,0.0690033
40,0.126622,0.065838
41,0.126654,0.0632357
42,0.127151,0.0637916
43,0.127383,0.0618522
44,0.126959,0.115625
45,0.127222,0.0679155
46,0.127641,0.0683524
47,0.127908,0.0668567
48,0.126975,0.0628801
49,0.126818,0.0674104
50,0.127559,0.0307739
51,0.128652,0.0695145
52,0.130486,0.0564103
53,0.131007,0.0306424
54,0.131654,0.0360217
55,0.132661,0.069522
56,0.132849,0.0331439
57,0.133018,0.0707732
58,0.133523,0.0721883
59,0.133598,0.0326745
60,0.132571,0.0228108
61,0.132493,0.0257773
62,0.132967,0.0304911
63,0.133069,0.0307607
64,0.131697,0.0277588
65,0.132618,0.0342192
66,0.135326,0.0300601
67,0.135753,0.0281197
68,0.135984,0.0348447
69,0.136502,0.0523722
70,0.138124,0.0395182
71,0.13939,0.0368166
72,0.140534,0.0383253
73,0.14209,0.0399241
74,0.143069,0.0456886
75,0.144237,0.0391404
76,0.145436,0.0406765
77,0.146749,0.0487805
78,0.149625,0.0429847
79,0.154332,0.0579778
80,0.156338,0.101535
81,0.160273,0.0624998
82,0.164325,0.0678712
83,0.166213,0.071102
84,0.172574,0.0588493
85,0.178608,0.0832872
86,0.180321,0.088976
87,0.186183,0.0875292
88,0.191615,0.104524
89,0.193931,0.100547
90,0.19857,0.0928038
91,0.200377,0.103207
92,0.20176,0.0874585
93,0.200922,0.0837423
94,0.198845,0.147752
95,0.200471,0.107489
96,0.199793,0.108663
97,0.201384,0.0865442
98,0.202278,0.101398
99,0.204206,0.0894523
100,0.203124,0.100292
101,0.204934,0.0798604
102,0.204331,0.0921531
103,0.2041,0.109884
104,0.203888,0.0889198
105,0.203927,0.0887536
106,0.208399,0.101934
107,0.209265,0.115735
108,0.213442,0.0933622
109,0.216189,0.111937
110,0.217925,0.100949
111,0.222467,0.0925803
112,0.227491,0.100976
113,0.227099,0.113049
114,0.231696,0.107147
115,0.234854,0.117561
116,0.235352,0.106817
117,0.23476,0.10818
118,0.235101,0.105139
119,0.233365,0.163657
120,0.234149,0.0995923
121,0.234345,0.101593
122,0.234768,0.109169
123,0.234509,0.110343
124,0.23378,0.107086
125,0.235011,0.110665
126,0.234768,0.110142
127,0.236277,0.112685
128,0.237977,0.116437
129,0.238655,0.129747
130,0.241759,0.131076
131,0.242257,0.10846
132,0.242982,0.129674
133,0.243851,0.122611
134,0.244239,0.133547
135,0.24603,0.136518
136,0.24527,0.14037
137,0.247073,0.128331
138,0.24799,0.131706
139,0.250627,0.0885565
140,0.250752,0.137579
141,0.250572,0.140576
142,0.250619,0.144547
143,0.251031,0.146553
144,0.247171,0.167692
145,0.24875,0.135118
146,0.250521,0.107048
147,0.249624,0.131974
148,0.247845,0.107428
149,0.246054,0.111473
150,0.246747,0.112519
151,0.244161,0.0928861
152,0.244283,0.0705373
153,0.243056,0.0623001
154,0.242778,0.121371
155,0.242398,0.0980391
156,0.240591,0.100484
157,0.237676,0.0988306
158,0.236139,0.0573939
159,0.236312,0.0971691
160,0.234192,0.0874154
161,0.23291,0.102271
162,0.230155,0.115493
163,0.229035,0.0882618
164,0.228463,0.0834143
165,0.228682,0.0949354
166,0.229109,0.0958132
167,0.228584,0.0818821
168,0.226919,0.0784532
169,0.221969,0.109074
170,0.221769,0.0735861
171,0.222647,0.111425
172,0.219939,0.0896099
173,0.219195,0.0733588
174,0.219618,0.067708
175,0.218054,0.092161
176,0.216459,0.0737311
177,0.217216,0.0777674
178,0.218897,0.0912949
179,0.219018,0.0766976
180,0.220049,0.0769562
181,0.218113,0.0732726
182,0.218493,0.069926
183,0.218583,0.0844489
184,0.218642,0.064863
185,0.217917,0.0664266
186,0.215335,0.0640401
187,0.215409,0.0758551
188,0.215723,0.0610019
189,0.216785,0.0462999
190,0.216107,0.0580405
191,0.216013,0.038725
192,0.215707,0.042534
193,0.21564,0.0449323
194,0.213611,0.0887032
195,0.214253,0.0522838
196,0.214614,0.0494702
197,0.21472,0.0671594
198,0.21392,0.0430003
199,0.213579,0.0328077
200,0.214285,0.0382939
201,0.214351,0.0493683
202,0.214445,0.0342576
203,0.214833,0.06549
204,0.214676,0.0372241
205,0.214582,0.0433374
206,0.214304,0.0410331
207,0.214434,0.0465507
208,0.214218,0.0343791
209,0.214641,0.0287244
210,0.214226,0.0475814
211,0.215158,0.0612225
212,0.214171,0.021941
213,0.214112,0.0408098
214,0.214151,0.0400025
215,0.213779,0.0470915
216,0.213732,0.0502774
217,0.213924,0.0465977
218,0.214171,0.0542275
219,0.213524,0.139592
220,0.21403,0.0657839
221,0.214426,0.0342537
222,0.214747,0.0208281
223,0.214951,0.0373574
224,0.214712,0.0937245
225,0.214923,0.0360759
226,0.214336,0.0707098
227,0.214332,0.0689542
228,0.214531,0.0366794
229,0.215378,0.0300293
230,0.215476,0.0261615
231,0.215519,0.0311383
232,0.216079,0.0265847
233,0.216271,0.0666023
234,0.216432,0.0258206
235,0.215527,0.0204245
236,0.216162,0.0247743
237,0.215437,0.0295081
238,0.214328,0.0194918
239,0.214579,0.0238455
240,0.213697,0.0184886
241,0.215887,0.00937755
242,0.216557,0.027102
243,0.216338,0.0219998
244,0.211694,0.0497672
245,0.211581,0.0409939
246,0.212815,0.0533223
247,0.214108,0.0340813
248,0.213227,0.0387916
249,0.212458,0.0304721
250,0.212772,0.0497555
251,0.212839,0.0329527
252,0.21267,0.0505845
253,0.213501,0.0357624
254,0.214034,0.0283795
255,0.214657,0.0260988
256,0.215256,0.0485822
257,0.215221,0.0210319
258,0.214955,0.0288302
259,0.214943,0.0400652
260,0.215108,0.0492272
261,0.21517,0.0508261
262,0.21508,0.0289791
263,0.215593,0.0474677
264,0.215848,0.0357468
265,0.216185,0.0223525
266,0.215864,0.0347122
267,0.216197,0.0262634
268,0.216122,0.0238651
269,0.214175,0.167679
270,0.213991,0.0484396
271,0.212686,0.0321337
272,0.213066,0.0521114
273,0.212678,0.036699
274,0.214128,0.0223133
275,0.214751,0.024163
276,0.216244,0.0171406
277,0.216636,0.0143269
278,0.216797,0.0154359
279,0.218125,0.0193664
