Frame_Num,Queue_Density,Dynamic_Density
1,0.174686,0.091317
2,0.0874506,0.0826276
3,0.0893395,0.0834116
4,0.0930348,0.084877
5,0.0945122,0.083933
6,0.0975492,0.0926718
7,0.100096,0.0926514
8,0.100406,0.0837119
9,0.0989874,0.0904057
10,0.0987288,0.0934032
11,0.0982389,0.0844246
12,0.0999475,0.0896406
13,0.101633,0.0965509
14,0.102381,0.0902449
15,0.103396,0.0794403
16,0.104262,0.0799078
17,0.104246,0.0583904
18,0.105916,0.0763949
19,0.104838,0.0995962
20,0.105536,0.0810788
21,0.106656,0.0911001
22,0.108326,0.0901759
23,0.1092,0.0939401
24,0.112209,0.0809645
25,0.114702,0.0733755
26,0.116445,0.0881197
27,0.118793,0.0714984
28,0.120615,0.0700363
29,0.121324,0.0858061
30,0.121587,0.0814181
31,0.122508,0.0687206
32,0.123045,0.0776681
33,0.12288,0.0952191
34,0.123746,0.0816873
35,0.123777,0.0830383
36,0.124365,0.0876777
37,0.124879,0.0781087
38,0.124436,0.0733921
39,0.125008,0.0648144
40,0.125643,0.0606388
41,0.125498,0.061756
42,0.125988,0.0603608
43,0.126301,0.0578616
44,0.12607,0.112215
45,0.126332,0.0666431
46,0.12683,0.0643246
47,0.126936,0.0604538
48,0.126215,0.0559677
49,0.126038,0.0598086
50,0.126763,0.0553458
51,0.12779,0.0661131
52,0.129648,0.0602518
53,0.130235,0.0508919
54,0.130902,0.0614075
55,0.131897,0.0669834
56,0.132015,0.0622267
57,0.131924,0.0711841
58,0.132645,0.0733522
59,0.132751,0.034238
60,0.131705,0.0410839
61,0.131678,0.0414914
62,0.132156,0.0302586
63,0.132105,0.0337989
64,0.130796,0.0306957
65,0.13176,0.0320069
66,0.134468,0.0259248
67,0.134871,0.0254318
68,0.135122,0.0317202
69,0.135612,0.0465543
70,0.137187,0.0375331
71,0.138563,0.0348276
72,0.139684,0.0353227
73,0.141259,0.0362123
74,0.142235,0.0497278
75,0.143438,0.0366755
76,0.144355,0.0423367
77,0.145887,0.0449131
78,0.148732,0.0658062
79,0.153372,0.0559202
80,0.155362,0.105677
81,0.159356,0.0555801
82,0.163353,0.0600441
83,0.165261,0.065605
84,0.17157,0.070621
85,0.177778,0.0758698
86,0.179494,0.0971023
87,0.185235,0.0778086
88,0.190584,0.0954852
89,0.193072,0.0936444
90,0.197469,0.101512
91,0.199111,0.101687
92,0.200585,0.0980916
93,0.199523,0.101174
94,0.197454,0.183574
95,0.199143,0.119988
96,0.198194,0.122808
97,0.199989,0.112313
98,0.200714,0.109824
99,0.202285,0.107733
100,0.201702,0.0902196
101,0.203387,0.0892936
102,0.202963,0.119532
103,0.20265,0.107224
104,0.201984,0.112487
105,0.202822,0.0983145
106,0.207431,0.115688
107,0.208238,0.107926
108,0.212302,0.0966365
109,0.215127,0.116029
110,0.216969,0.0911338
111,0.221409,0.0999638
112,0.226386,0.124855
113,0.226182,0.127409
114,0.230438,0.102289
115,0.233643,0.114874
116,0.233608,0.108393
117,0.233161,0.102345
118,0.233514,0.102651
119,0.23179,0.146802
120,0.232667,0.100736
121,0.232812,0.103469
122,0.232605,0.106982
123,0.232193,0.104982
124,0.232307,0.102357
125,0.233475,0.11372
126,0.233008,0.108216
127,0.234482,0.109363
128,0.236292,0.113306
129,0.236418,0.11978
130,0.239741,0.124216
131,0.240203,0.11316
132,0.241195,0.127326
133,0.24179,0.122039
134,0.241688,0.120535
135,0.244533,0.119604
136,0.243993,0.128059
137,0.245662,0.119763
138,0.246975,0.117796
139,0.248954,0.108432
140,0.249479,0.119788
141,0.248942,0.129383
142,0.249299,0.131948
143,0.249604,0.136151
144,0.24556,0.141833
145,0.247406,0.117014
146,0.249161,0.105588
147,0.248025,0.120045
148,0.245874,0.10611
149,0.243938,0.092564
150,0.245074,0.105426
151,0.242355,0.0985052
152,0.243366,0.0824382
153,0.241347,0.0737399
154,0.241116,0.114009
155,0.240842,0.0953729
156,0.238585,0.0986649
157,0.236061,0.107171
158,0.234654,0.0800117
159,0.234721,0.105378
160,0.232863,0.105118
161,0.231598,0.102619
162,0.228929,0.110394
163,0.227557,0.104566
164,0.226817,0.0853843
165,0.227216,0.0957968
166,0.227581,0.0953588
167,0.227111,0.0824772
168,0.22552,0.0800806
169,0.219132,0.115193
170,0.218783,0.0809612
171,0.220562,0.100726
172,0.218094,0.102701
173,0.217565,0.0888126
174,0.218098,0.0874506
175,0.21684,0.0983618
176,0.215535,0.0921376
177,0.216107,0.0918431
178,0.21769,0.0884005
179,0.217706,0.0740932
180,0.218822,0.0854313
181,0.216883,0.0773896
182,0.217294,0.0689988
183,0.21731,0.0937045
184,0.217396,0.0598503
