Frame_Num,Queue_Density,Dynamic_Density
1,0.0867139,0.0758343
2,0.0881756,0.0688207
3,0.0903427,0.0714157
4,0.0935443,0.0728227
5,0.0948139,0.0706373
6,0.0977765,0.0763782
7,0.100743,0.076543
8,0.100978,0.0687071
9,0.0995321,0.0744273
10,0.0993205,0.0718011
11,0.0987993,0.0786158
12,0.100473,0.0917066
13,0.102138,0.0970312
14,0.102879,0.0906154
15,0.104046,0.0577908
16,0.104807,0.066427
17,0.10514,0.0512403
18,0.106143,0.0569148
19,0.10503,0.0759258
20,0.105728,0.0641733
21,0.10688,0.07586
22,0.108549,0.0740164
23,0.109423,0.0840131
24,0.112758,0.0885293
25,0.115376,0.0850087
26,0.11697,0.0921239
27,0.119294,0.0889693
28,0.121128,0.0772697
29,0.121822,0.0911331
30,0.122057,0.0920781
31,0.123017,0.0818166
32,0.123852,0.0920675
33,0.123628,0.112341
34,0.124436,0.0964169
35,0.124514,0.0926586
36,0.125016,0.100621
37,0.125556,0.0915853
38,0.125169,0.0851554
39,0.12607,0.0763921
40,0.126622,0.0694027
41,0.126705,0.0701747
42,0.126834,0.0681263
43,0.127312,0.0629681
44,0.126865,0.07939
45,0.1271,0.0612431
46,0.127555,0.0508167
47,0.127739,0.0496655
48,0.126971,0.0355432
49,0.126736,0.0348188
50,0.127465,0.0275462
51,0.128605,0.0354019
52,0.130541,0.0316999
53,0.131015,0.0271874
54,0.131689,0.0327889
55,0.132587,0.0417507
56,0.132716,0.0290271
57,0.132747,0.0386547
58,0.133488,0.0462192
59,0.133574,0.0360122
60,0.132551,0.0450722
61,0.132489,0.033978
62,0.132928,0.0320363
63,0.133057,0.0346391
64,0.131689,0.0340421
65,0.132634,0.0345006
66,0.135385,0.0354568
67,0.135831,0.0298295
68,0.13607,0.0357938
69,0.136431,0.0561164
70,0.138022,0.0419266
71,0.139405,0.0381019
72,0.140448,0.0393794
73,0.142035,0.040367
74,0.143077,0.04842
75,0.144292,0.0413897
76,0.145366,0.0467163
77,0.146776,0.0505345
78,0.149578,0.071296
79,0.154261,0.0616827
80,0.15635,0.113287
81,0.160359,0.0613232
82,0.164501,0.0668437
83,0.166778,0.0719636
84,0.172766,0.0766986
85,0.178648,0.0816289
86,0.180344,0.101337
87,0.186164,0.0847128
88,0.191673,0.103154
89,0.193974,0.0997676
90,0.198614,0.100368
91,0.200436,0.102695
92,0.201764,0.100051
93,0.200922,0.105779
94,0.198829,0.188888
95,0.200471,0.133491
96,0.199801,0.127748
97,0.201388,0.109477
98,0.202281,0.12033
99,0.204198,0.114013
100,0.203046,0.100239
101,0.204876,0.084356
102,0.204233,0.0880661
103,0.204049,0.0963877
104,0.203606,0.0862805
105,0.203759,0.0862305
106,0.208379,0.097722
107,0.209206,0.108872
108,0.213305,0.091022
109,0.216072,0.104693
110,0.217886,0.104396
111,0.222326,0.0992421
112,0.227291,0.106018
113,0.227197,0.116309
114,0.231484,0.114646
115,0.234689,0.121454
116,0.235301,0.125545
117,0.234725,0.119658
118,0.234878,0.1191
119,0.233157,0.183915
120,0.234051,0.116141
121,0.234411,0.120105
122,0.234039,0.134841
123,0.233565,0.122017
124,0.233757,0.125911
125,0.235015,0.140295
126,0.23496,0.130481
127,0.236159,0.131426
128,0.237848,0.129382
129,0.238177,0.142569
130,0.241704,0.145177
131,0.242174,0.115936
132,0.242833,0.138588
133,0.24422,0.135174
134,0.244596,0.13067
135,0.246132,0.120306
136,0.245427,0.1286
137,0.247108,0.107356
138,0.248299,0.113302
139,0.250572,0.0944734
140,0.250784,0.12124
141,0.250525,0.125484
142,0.250843,0.128202
143,0.25096,0.144181
144,0.246947,0.151813
145,0.248656,0.126248
146,0.250674,0.105751
147,0.249373,0.125376
148,0.247269,0.10693
149,0.245682,0.09342
150,0.246501,0.115716
151,0.24373,0.0963013
152,0.244643,0.0811373
153,0.242782,0.0786446
154,0.242586,0.11604
155,0.242327,0.0913954
156,0.240203,0.101901
157,0.237527,0.103685
158,0.236041,0.0698498
159,0.236155,0.102671
160,0.234153,0.102553
161,0.232906,0.100446
162,0.230183,0.114547
163,0.228905,0.104387
164,0.228177,0.0848176
165,0.228557,0.0961747
166,0.229105,0.0974044
167,0.228612,0.0789869
168,0.226801,0.0816638
169,0.220876,0.101157
170,0.220496,0.0846762
171,0.222302,0.0931446
172,0.219908,0.102706
173,0.219328,0.0844449
174,0.219606,0.0872116
175,0.218176,0.0964167
176,0.216883,0.0934855
177,0.217184,0.0893238
178,0.218901,0.0890299
179,0.219011,0.0719167
180,0.220108,0.0837239
181,0.218176,0.0711761
182,0.218497,0.0396655
183,0.218548,0.093701
184,0.21863,0.0477068
185,0.217886,0.0535104
186,0.215307,0.0312794
187,0.215405,0.0886889
188,0.215719,0.0318868
189,0.216722,0.0737154
190,0.216056,0.0344183
191,0.215962,0.0515824
192,0.215668,0.0567747
193,0.215601,0.0223172
194,0.213317,0.0908129
195,0.213924,0.0553365
196,0.214277,0.0317418
197,0.214614,0.0436469
198,0.213818,0.0325373
199,0.213454,0.0213375
200,0.214108,0.0243511
201,0.214124,0.0280621
202,0.2143,0.0370321
203,0.214637,0.0432159
204,0.214669,0.0329958
205,0.214637,0.0248331
206,0.214281,0.0319181
207,0.214437,0.0199699
208,0.214132,0.029367
209,0.214606,0.0496073
210,0.214218,0.0317653
211,0.215272,0.0440035
212,0.214281,0.0213963
213,0.214241,0.0285441
214,0.214273,0.0185866
215,0.213771,0.0426202
216,0.213736,0.0291045
217,0.213807,0.0428828
218,0.214057,0.0523074
219,0.213477,0.132696
220,0.213771,0.0428906
221,0.214234,0.0316438
222,0.214704,0.0398849
223,0.214927,0.0497837
224,0.214684,0.0713564
225,0.214884,0.0268982
226,0.214253,0.0557754
227,0.214234,0.0559048
